hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,all-transactions,quarterly,MSA,"Buffalo-Cheektowaga, NY",15380,2023,2,302.21,
traditional,all-transactions,quarterly,MSA,"Burlington, NC",15500,2023,1,260.85,
traditional,all-transactions,quarterly,MSA,"Burlington, NC",15500,2023,2,275.71,
traditional,all-transactions,quarterly,MSA,"Burlington-South Burlington, VT",15540,2023,1,364.11,
traditional,all-transactions,quarterly,MSA,"Burlington-South Burlington, VT",15540,2023,2,370.3,
traditional,all-transactions,quarterly,MSA,"California-Lexington Park, MD",15680,2023,1,276.98,
traditional,all-transactions,quarterly,MSA,"California-Lexington Park, MD",15680,2023,2,288.78,
traditional,all-transactions,quarterly,MSA,"Cambridge-Newton-Framingham, MA (MSAD)",15764,2023,1,404.21,
traditional,all-transactions,quarterly,MSA,"Cambridge-Newton-Framingham, MA (MSAD)",15764,2023,2,419.42,
traditional,all-transactions,quarterly,MSA,"Camden, NJ (MSAD)",15804,2023,1,292.6,
traditional,all-transactions,quarterly,MSA,"Camden, NJ (MSAD)",15804,2023,2,302.9,
traditional,all-transactions,quarterly,MSA,"Canton-Massillon, OH",15940,2023,1,235.12,
traditional,all-transactions,quarterly,MSA,"Canton-Massillon, OH",15940,2023,2,246.56,
traditional,all-transactions,quarterly,MSA,"Cape Coral-Fort Myers, FL",15980,2023,1,450.08,
traditional,all-transactions,quarterly,MSA,"Cape Coral-Fort Myers, FL",15980,2023,2,463.06,
traditional,all-transactions,quarterly,MSA,"Cape Girardeau, MO-IL",16020,2023,1,244.65,
traditional,all-transactions,quarterly,MSA,"Cape Girardeau, MO-IL",16020,2023,2,244.7,
traditional,all-transactions,quarterly,MSA,"Carbondale-Marion, IL",16060,2023,1,227.35,
traditional,all-transactions,quarterly,MSA,"Carbondale-Marion, IL",16060,2023,2,221.58,
traditional,all-transactions,quarterly,MSA,"Carson City, NV",16180,2023,1,362.81,
traditional,all-transactions,quarterly,MSA,"Carson City, NV",16180,2023,2,354.21,
traditional,all-transactions,quarterly,MSA,"Casper, WY",16220,2023,1,381.69,
traditional,all-transactions,quarterly,MSA,"Casper, WY",16220,2023,2,377.54,
traditional,all-transactions,quarterly,MSA,"Cedar Rapids, IA",16300,2023,1,216.89,
traditional,all-transactions,quarterly,MSA,"Cedar Rapids, IA",16300,2023,2,227.79,
traditional,all-transactions,quarterly,MSA,"Chambersburg-Waynesboro, PA",16540,2023,1,270.48,
traditional,all-transactions,quarterly,MSA,"Chambersburg-Waynesboro, PA",16540,2023,2,267.43,
traditional,all-transactions,quarterly,MSA,"Champaign-Urbana, IL",16580,2023,1,227.72,
traditional,all-transactions,quarterly,MSA,"Champaign-Urbana, IL",16580,2023,2,255.51,
traditional,all-transactions,quarterly,MSA,"Charleston, WV",16620,2023,1,214.56,
traditional,all-transactions,quarterly,MSA,"Charleston, WV",16620,2023,2,204.15,
traditional,all-transactions,quarterly,MSA,"Charleston-North Charleston, SC",16700,2023,1,518.34,
traditional,all-transactions,quarterly,MSA,"Charleston-North Charleston, SC",16700,2023,2,539.99,
traditional,all-transactions,quarterly,MSA,"Charlotte-Concord-Gastonia, NC-SC",16740,2023,1,364.2,
traditional,all-transactions,quarterly,MSA,"Charlotte-Concord-Gastonia, NC-SC",16740,2023,2,373.47,
traditional,all-transactions,quarterly,MSA,"Charlottesville, VA",16820,2023,1,351.83,
traditional,all-transactions,quarterly,MSA,"Charlottesville, VA",16820,2023,2,363.48,
traditional,all-transactions,quarterly,MSA,"Chattanooga, TN-GA",16860,2023,1,363.03,
traditional,all-transactions,quarterly,MSA,"Chattanooga, TN-GA",16860,2023,2,367.08,
traditional,all-transactions,quarterly,MSA,"Cheyenne, WY",16940,2023,1,344.61,
traditional,all-transactions,quarterly,MSA,"Cheyenne, WY",16940,2023,2,364.93,
traditional,all-transactions,quarterly,MSA,"Chicago-Naperville-Evanston, IL (MSAD)",16984,2023,1,235.94,
traditional,all-transactions,quarterly,MSA,"Chicago-Naperville-Evanston, IL (MSAD)",16984,2023,2,244.18,
traditional,all-transactions,quarterly,MSA,"Chico, CA",17020,2023,1,345.57,
traditional,all-transactions,quarterly,MSA,"Chico, CA",17020,2023,2,355.01,
traditional,all-transactions,quarterly,MSA,"Cincinnati, OH-KY-IN",17140,2023,1,263.69,
traditional,all-transactions,quarterly,MSA,"Cincinnati, OH-KY-IN",17140,2023,2,273.52,
traditional,all-transactions,quarterly,MSA,"Clarksville, TN-KY",17300,2023,1,329.44,
traditional,all-transactions,quarterly,MSA,"Clarksville, TN-KY",17300,2023,2,329.35,
traditional,all-transactions,quarterly,MSA,"Cleveland, TN",17420,2023,1,329.86,
traditional,all-transactions,quarterly,MSA,"Cleveland, TN",17420,2023,2,356.61,
traditional,all-transactions,quarterly,MSA,"Cleveland-Elyria, OH",17460,2023,1,218.41,
traditional,all-transactions,quarterly,MSA,"Cleveland-Elyria, OH",17460,2023,2,227.43,
traditional,all-transactions,quarterly,MSA,"Coeur d'Alene, ID",17660,2023,1,481.12,
traditional,all-transactions,quarterly,MSA,"Coeur d'Alene, ID",17660,2023,2,477.78,
traditional,all-transactions,quarterly,MSA,"College Station-Bryan, TX",17780,2023,1,354.56,
traditional,all-transactions,quarterly,MSA,"College Station-Bryan, TX",17780,2023,2,365.21,
